AGE,GENDER,CAREER,ACAD_LEVEL,ACAD_LOAD,HOURS_ENROLLED,ACAD_ORG,TRANSACTION_AMOUNT,TANSACTION_COUNT
19,Male,Undergraduate,Freshman,Enrolled Full-Time,14,SUNY at Brockport,6.3,34
49,Male,Undergraduate,Freshman,Enrolled Half-Time,8,Syracuse University,1.33,3
22,Female,Undergraduate,Senior,Enrolled Full-Time,12,SUNY at Buffalo,57.21,96
22,Female,Undergraduate,Senior,Enrolled Full-Time,15,College of Health Professions,4.18,8
25,Female,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,0.65,6
19,Female,Undergraduate,Freshman,Enrolled Full-Time,15,University College,0.4,7
24,Male,Undergraduate,Junior,Enrolled Full-Time,12,SUNY at Brockport,0.6,6
19,Female,Undergraduate,Freshman,Enrolled Full-Time,15,SUNY at Brockport,8.15,29
23,Female,Undergraduate,Senior,Enrolled Half-Time,6,SUNY at Buffalo,0.71,4
22,Male,Undergraduate,Senior,Enrolled Full-Time,12,SUNY at Buffalo,0.8,3
20,Female,Undergraduate,Junior,Enrolled Full-Time,18,SUNY at Buffalo,7.41,27
26,Male,Undergraduate,Senior,Enrolled Full-Time,15,SUNY at Brockport,22.1,54
20,Female,Undergraduate,Junior,Enrolled Full-Time,12,College of Business Administration,19.97,6
22,Female,Undergraduate,Senior,No Unit Load,0,College of Engineering,27.38,36
21,Female,Undergraduate,Junior,Enrolled Full-Time,16,College of Education,227.36,48
24,Female,Graduate,Graduate,Enrolled Full-Time,12,SUNY at Buffalo,4.27,5
17,Female,Undergraduate,Freshman,Enrolled Full-Time,14,Syracuse University,63.34,137
21,Female,Undergraduate,Freshman,Three Quarter Time,11,Syracuse University,0.45,2
21,Male,Undergraduate,Junior,Enrolled Full-Time,12,Syracuse University,8.33,39
22,Female,Undergraduate,Senior,Enrolled Full-Time,14,College of Engineering,0.4,4
20,Male,Undergraduate,Sophomore,Enrolled Full-Time,12,College of Engineering,710.11,179
25,Female,Graduate,Graduate,Enrolled Full-Time,10,SUNY at Buffalo,9.99,17
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Engineering,0,14
25,Male,Undergraduate,Senior,Three Quarter Time,10,College of Business Administration,6.85,13
20,Female,Undergraduate,Sophomore,Enrolled Half-Time,8,SUNY at Brockport,1092.54,138
22,Female,Undergraduate,Sophomore,Enrolled Half-Time,7,College of Health Professions,1.63,2
21,Female,Undergraduate,Senior,Three Quarter Time,10,SUNY at Buffalo,12.53,60
18,Male,Undergraduate,Freshman,Enrolled Full-Time,17,College of Engineering,1300.63,220
29,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,8,Syracuse University,3.98,20
22,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,College of Health Professions,8.67,25
20,Female,Undergraduate,Freshman,Enrolled Full-Time,14,University College,20.3,4
33,Male,Law,LLM Full Time,Less than Half-Time,2,School of Law,2.31,6
20,Female,Undergraduate,Sophomore,Enrolled Full-Time,13,Syracuse University,60,1
22,Female,Undergraduate,Senior,Enrolled Full-Time,14,College of Engineering,0.8,4
